Rainfall,Area,Temperature,Humidity,Nitrogen,Phosphorus,Potassium,Lint Yield (Pounds/Harvested Acre)
850,120,28.5,65,80,40,50,850
720,100,27.2,62,75,35,45,780
950,140,29.1,68,90,50,60,920
680,90,26.5,58,70,30,40,710
1100,150,30.2,72,100,55,70,1000
820,115,28.1,64,82,42,48,860
750,105,27.8,60,76,36,44,795
920,130,29.5,70,92,48,62,905
640,85,26.0,55,68,28,38,680
1050,145,30.0,71,98,52,68,980
880,125,28.8,67,85,44,52,875
790,110,27.5,61,78,38,46,820
980,135,29.8,69,95,50,65,930
720,95,26.8,57,72,32,42,745
1120,155,30.5,73,102,58,72,1020
840,118,28.3,65,83,43,50,870
760,102,27.6,59,77,37,45,805
910,128,29.3,68,90,46,60,895
660,88,26.3,56,70,31,39,700
1080,148,30.1,72,99,54,69,990
870,122,28.6,66,84,45,51,865
770,108,27.4,62,79,39,47,810
940,132,29.6,71,94,49,64,915
700,92,26.6,54,71,30,41,725
1060,142,30.3,70,97,51,67,960
810,112,28.0,63,81,41,48,835
730,98,27.2,60,74,33,43,770
900,126,29.2,67,88,47,61,880
680,87,26.4,53,69,29,37,685
1090,150,30.2,73,100,55,70,1010
850,120,28.5,65,80,40,50,850
820,115,28.2,64,82,42,49,860
760,105,27.7,61,77,38,46,815
970,134,29.7,70,93,48,63,920
710,91,26.7,56,71,31,40,735
1070,144,30.0,71,98,53,68,970
880,124,28.7,67,85,44,52,880
750,100,27.3,59,75,35,44,785
930,130,29.4,69,91,47,62,910
650,86,26.2,54,68,28,37,675
1100,146,30.4,72,100,56,71,1000
860,121,28.4,66,83,43,51,865
780,107,27.5,62,78,39,47,820
950,133,29.5,70,92,48,63,915
720,94,26.8,57,72,32,42,750
1080,147,30.1,71,99,54,69,985
